corpus_id;sentence_position;position;value
2;13;2;hàt
2;13;3;d
2;13;4;Stàdt
2;13;5;Stroßburri
2;13;6;s
2;13;7;Museum
2;13;8;àbkàuift
2;13;9;.
2;14;1;Zwei
2;14;1;Gebäi
2;14;2;nawadràà
2;14;3;sìn
2;14;4;aui
2;14;5;kàuift
2;14;6;worra
2;14;7;,
2;14;8;s
2;14;9;Museum
2;14;10;hàt
2;14;11;sìch
2;14;12;vergreeßert
2;14;13;,
2;14;14;ìm
2;14;15;Ràhma
2;14;16;vu
2;14;17;da
2;14;18;Stàdtmuseum
2;14;19;vu
2;14;20;Stroßburri
2;14;21;.
2;15;1;Zwìscha
2;15;1;1969
2;15;2;un
2;15;3;1985
2;15;4;hàt
2;15;5;dr
2;15;6;Verwàlter
2;15;7;Georges
2;15;8;Klein
2;15;9;Üstellunga
2;15;10;ìwer
2;15;11;verschìedena
2;15;12;Thema
2;15;13;ufbàuia
2;15;14;.
2;16;1;Ar
2;16;1;hàt
2;16;2;d
2;16;3;Entwìcklung
2;16;4;vum
2;16;5;Museum
2;16;6;ìn
2;16;7;da
2;16;8;zwei
2;16;9;Gebäi
2;16;10;nawadràà
2;16;11;gfiahrt
2;16;12;un
2;16;13;nèia
2;16;14;Saal
2;16;15;ufgstellt
2;16;16;.
2;17;1;Zwei
2;17;1;Saal
2;17;2;ìm
2;17;3;drìtta
2;17;4;Stock
2;17;5;sìn
2;17;6;làng
2;17;7;ìm
2;17;8;Wark
2;17;9;vum
2;17;10;Pàschtor
2;17;11;un
2;17;12;Pädagoge
2;17;13;Jean-Frédéric
2;17;14;Oberlin
2;17;15;gwìdmet
2;17;16;gsìì
2;17;17;.
2;18;1;Wo
2;18;1;,
2;18;2;ànna
2;18;3;2003
2;18;4;,
2;18;5;s
2;18;6;Museum
2;18;7;Jean-Frédéric
2;18;8;Oberlin
2;18;9;z'
2;18;10;Waldersbach
2;18;11;ufgmàcht
2;18;12;hàt
2;18;13;,
2;18;14;ìsch
2;18;15;dia
2;18;16;Sàmmlung
2;18;17;därt
2;18;18;ànakumma
2;18;19;.
2;19;1;Noh
2;19;1;da
2;19;2;Faschter
2;19;3;vum
2;19;4;100.
2;19;5;Geburstàg
2;19;6;ànna
2;19;7;2007
2;19;8;,
2;19;9;ìsch
2;19;10;s
2;19;11;Museum
2;19;12;renowiart
2;19;13;worra
2;19;14;,
2;19;15;fer
2;19;16;ìn
2;19;17;d
2;19;18;Sìcherheitsnorma
2;19;19;ààpàssa
2;19;20;.
2;20;1;S
2;20;1;Museum
2;20;2;hàt
2;20;3;àm
2;20;4;15.
2;20;5;Oktower
2;20;6;2008
2;20;7;wìder
2;20;8;ufgmàcht
2;20;9;.
3;1;1;Johannes
3;1;2;Mentelin
3;1;3;Dr
3;1;4;Johannes
3;1;5;Mentelin
3;1;6;mankmol
3;1;7;àui
3;1;8;Mentlin
3;1;9;gnannt
3;1;10;(
3;1;11;"*"
3;1;12;um
3;1;13;1410
