corpus_name;sentence_position;position;value
wikipedia1;7;1;Bi
wikipedia1;7;2;da
wikipedia1;7;3;Grìnder
wikipedia1;7;4;sìn
wikipedia1;7;5;dr
wikipedia1;7;6;Pierre
wikipedia1;7;7;Bucher
wikipedia1;7;8;,
wikipedia1;7;9;dr
wikipedia1;7;10;Ferdinand
wikipedia1;7;11;un
wikipedia1;7;12;dr
wikipedia1;7;13;Léon
wikipedia1;7;14;Dollinger
wikipedia1;7;15;,
wikipedia1;7;16;dr
wikipedia1;7;17;Anselme
wikipedia1;7;18;Laugel
wikipedia1;7;19;,
wikipedia1;7;20;dr
wikipedia1;7;21;Gustave
wikipedia1;7;22;Stoskopf
wikipedia1;7;23;,
wikipedia1;7;24;dr
wikipedia1;7;25;Fritz
wikipedia1;7;26;Kiener
wikipedia1;7;27;,
wikipedia1;7;28;dr
wikipedia1;7;29;Archeologue
wikipedia1;7;30;Robert
wikipedia1;7;31;Forrer
wikipedia1;7;32;un
wikipedia1;7;33;dr
wikipedia1;7;34;Alfred
wikipedia1;7;35;Kassel
wikipedia1;7;36;gsìì
wikipedia1;7;37;.
wikipedia1;8;1;Dr
wikipedia1;8;2;Kìnschtler
wikipedia1;8;3;Charles
wikipedia1;8;4;Spindler
wikipedia1;8;5;-
wikipedia1;8;6;wo
wikipedia1;8;7;bim
wikipedia1;8;8;Notàr
wikipedia1;8;9;nìt
wikipedia1;8;10;derbi
wikipedia1;8;11;gsìì
wikipedia1;8;12;ìsch
wikipedia1;8;13;-
wikipedia1;8;14;hàt
wikipedia1;8;15;aui
wikipedia1;8;16;mìtgmàcht
wikipedia1;8;17;:
wikipedia1;8;18;ar
wikipedia1;8;19;hàt
wikipedia1;8;20;d
wikipedia1;8;21;Wàsserfàrb-Gmälta
wikipedia1;8;22;vum
wikipedia1;8;23;Büech
wikipedia1;8;24;Costumes
wikipedia1;8;25;et
wikipedia1;8;26;coutumes
wikipedia1;8;27;d’Alsace
wikipedia1;8;28;gaa
wikipedia1;8;29;,
wikipedia1;8;30;un
wikipedia1;8;31;hàt
wikipedia1;8;32;derfer
wikipedia1;8;33;a
wikipedia1;8;34;Gschaftsààteil
wikipedia1;8;35;vum
wikipedia1;8;36;Museum
wikipedia1;8;37;bikumma
wikipedia1;8;38;.
wikipedia1;9;1;Dia
wikipedia1;9;2;Bìlder
wikipedia1;9;3;sìn
wikipedia1;9;4;d
wikipedia1;9;5;erschta
wikipedia1;9;6;Giater
wikipedia1;9;7;vum
wikipedia1;9;8;züekìnftiga
wikipedia1;9;9;Museum
wikipedia1;9;10;gsìì
wikipedia1;9;11;.
wikipedia1;10;1;Dr
wikipedia1;10;2;Goerges
wikipedia1;10;3;Ritleng
wikipedia1;10;4;ìsch
wikipedia1;10;5;Ehrapräsidant
wikipedia1;10;6;vum
wikipedia1;10;7;Museum
wikipedia1;10;8;worra
wikipedia1;10;9;.
wikipedia1;11;1;S
wikipedia1;11;2;Museum
wikipedia1;11;3;hàt
wikipedia1;11;4;àm
wikipedia1;11;5;11.
wikipedia1;11;6;Mai
wikipedia1;11;7;1907
wikipedia1;11;8;ufgmàcht
wikipedia1;11;9;.
wikipedia1;12;1;Wahrend'm
wikipedia1;12;2;erschta
wikipedia1;12;3;Waltkriag
wikipedia1;12;4;hàt
wikipedia1;12;5;d
wikipedia1;12;6;ditscha
wikipedia1;12;7;Regiarung
wikipedia1;12;8;s
wikipedia1;12;9;Museum
wikipedia1;12;10;züegmàcht
wikipedia1;12;11;,
wikipedia1;12;12;wial
wikipedia1;12;13;'s
wikipedia1;12;14;züe
wikipedia1;12;15;vìel
wikipedia1;12;16;fer
wikipedia1;12;17;s
wikipedia1;12;18;Frànkrìch
wikipedia1;12;19;igstellt
wikipedia1;12;20;gsìì
wikipedia1;12;21;ìsch
wikipedia1;12;22;.
wikipedia1;13;1;Ànna
wikipedia1;13;2;1917
wikipedia1;13;3;hàt
wikipedia1;13;4;d
wikipedia1;13;5;Stàdt
